TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
 -133.20  126.22  106.62  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
  114.69  121.96 -104.53   0.0016500
TEXTURE AT STRAIN =    0.6500
   1.116   1.208   0.739  <-- length of phase ellipsoid axes
 -146.66    1.83  173.48  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
  114.65  123.29 -103.67   0.0016500
